Label ID,Short Code
1268,Acnth
1269,Acro(b)
1270,Acro(t)
1314,Anemone
1271,Astre
2485,BAcro
3253,BDipsa
2496,BFavites
1327,BG_macro
119,BHC
5271,BHelio
1315,Biva
777,BLobo
209,BMeru
459,BMille
212,BMonti
2596,BPlaty
2490,BPoci
216,BPorit
1262,Bra_Hcoral
1795,Briare
1324,Bro_macro
2147,BSC
2489,BSeri
770,BStylo
607,Caula
1340,CCA_HS
1341,CCA_rubble
1266,CHcoral
1317,Coralmorph
1272,Cosci
1273,Cypha
1432,Dead_HC
1274,Diploa
1609,Dipsa
1275,Echinophy
1276,Echinopora
1264,EHcoral
1277,Euphyllia
1279,Favites
1265,FHcoral
1344,Fine
1267,Free
1280,Fungia
1281,Galaxea
1318,Giant clam
1323,G_macro
1283,Goniastrea
1282,Gonio
1802,Gorgo
1284,Helio
1345,HS
1285,Hydno
1313,Hydrocoral
1286,Iso
4105,Junc
1287,Lepta
1288,Lepto
1290,Leptoria
1610,Litho
1289,Loboph_HC
2050,Lobophy_SC
1337,Macro(e)
1338,Macro(up)
1291,Meru
1350,M fauna
1263,MHcoral
1292,Mille
1296,Montas
1293,Monti(b)
1294,Monti(e)
1295,Monti(f)
194,Myce
2426,Nephthya
1342,Octocoral
100,Other_HC
1343,Other_SC
1297,Oulo
193,Oxyp
1298,Pachy
1300,Pavo(e)
1301,Pavo(f)
1299,Pavo(m)
3500,Phymas
594,Physo
1302,Platy
1303,Plero
1304,Poci
1305,Porites(b)
1306,Porites(m)
1309,Psammo
1325,R_macro
1347,Sand
128,Sarco
1964,Scapo
342,Sea urchin
189,Seria
1353,Shadow
2051,Sinu
1319,Sponge
1310,Stylo
1311,Sym
107,Transect
1379,Tubas
1312,Turbi
1348,Turf_HS
1349,Turf_rubbl
1354,Un
2609,Zoan
